state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5386099364404141,0.019745128747630715,3.9581519729208706e-4,10.327433029308883,8,6
Colorado,Senate,0.5394676060986604,0.019519306506167344,3.855089264412191e-4,12.49527771006631,6,3
Florida,Senate,0.4825407134569034,0.01816039411232712,3.534594557890714e-4,8.81647576961541,19,6
Georgia,Senate,0.5116900711911808,0.019748747049325492,3.9594222419496856e-4,9.091311489442706,17,4
Illinois,Senate,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,22.80000000000001,1,0
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.4757268104957858,0.015958791058338063,2.5824450346379835e-4,8.114116696676634,10,1
Kansas,Senate,0.39325842696629215,0.026151876617447965,6.839206506142215e-4,11,1,1
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.43956043956044805,0.016363545840545227,2.677656324756302e-4,9.000000000000309,2,1
Nevada,Senate,0.5127085362883816,0.019581831687841663,4.03853415330487e-4,13.060278249010533,10,2
New Hampshire,Senate,0.5505608179451924,0.019872723232249416,3.9492543974905137e-4,10.99996033833739,5,0
New York,Senate,0.6290087066566817,0.017381965399376097,3.057131368511716e-4,13.683859398106529,4,2
North Carolina,Senate,0.4947093625349943,0.019328464682159863,3.832571175413391e-4,13.193712570256977,9,3
Ohio,Senate,0.5147366743957504,0.018562078010609828,3.531923107117567e-4,10.147081149452676,9,6
Pennsylvania,Senate,0.564777981790456,0.019067130900590458,3.7101994393894436e-4,10.914348690185907,12,7
South Carolina,Senate,0.40657953563679267,0.021021555915855788,4.419062137101989e-4,9.001227332943715,2,1
South Dakota,Senate,0.2891566265060241,0.02488195454963052,6.191116622098788e-4,17,1,0
Utah,Senate,0.4755005774357574,0.019942996518939236,4.0483420259771385e-4,10.725623496650014,5,1
Vermont,Senate,0.5351171180311524,0.015808775696699754,2.499331673027132e-4,7.10321525627695,3,1
Washington,Senate,0.5393583943874294,0.019845957481099935,4.042095675250368e-4,9.414908375397879,11,3
Wisconsin,Senate,0.5153887302310246,0.015666166400039733,2.4553548326460575e-4,3.6946805576731307,4,2
Arizona,Governor,0.5136745104437908,0.01967802924401548,3.9270562122081245e-4,9.802746940218961,6,6
Arkansas,Governor,0.34042452660836786,0.025005677545048233,6.252876533130706e-4,6.000541793196959,2,1
Colorado,Governor,0.5328980583375273,0.014674157806943595,2.169884551133706e-4,9.971397775945325,4,2
Connecticut,Governor,0.5574009378195114,0.013964393318811136,1.9793596262962846e-4,5.220514855671728,3,0
Florida,Governor,0.4661599374324588,0.02011936731062803,4.3462004031927443e-4,6.921476805305896,7,6
Georgia,Governor,0.47902217951279613,0.019004399028017756,3.6750380542713556e-4,6.660996830358291,15,5
Illinois,Governor,0.5635027227557652,0.01573794963681431,2.4786177232616476e-4,16.897926406618463,3,1
Iowa,Governor,0.4093783325474539,0.021485075756964525,4.6255576087967325e-4,11.9740047120503,4,0
Kansas,Governor,0.563718575958257,0.0258312457010915,6.672600087167968e-4,6.0051695828778895,4,1
Maine,Governor,0.5217304907425252,0.019216115973875653,3.7154461653808937e-4,12.742966643552995,4,0
Massachusetts,Governor,0.6056338028169014,0.01989841427943074,3.9594689083585316e-4,14.799999999999997,1,1
Michigan,Governor,0.5567692141277366,0.019991654126572223,4.079626205327915e-4,11.846723141372369,8,3
Minnesota,Governor,0.597821285997839,0.022596489465563408,5.112514494912799e-4,13.874533888425464,4,2
Nevada,Governor,0.5034406715121396,0.019770816525585655,4.0964741458472486e-4,13.114702424001385,7,2
New Hampshire,Governor,0.38463399503774065,0.014176626988915919,2.1442693606847318e-4,23.123861796959027,4,1
New Mexico,Governor,0.5364631716294843,0.023353761267356027,5.456101686888989e-4,12.314412825640533,5,1
New York,Governor,0.57325555076069,0.017052842668575444,2.947955977117453e-4,11.811459374224295,7,4
Ohio,Governor,0.4271792752270717,0.018640897835831338,3.5607116178494364e-4,11.76339025683882,7,6
Oklahoma,Governor,0.444705456817253,0.023942310432205415,5.854591841163789e-4,12.06371665805616,8,2
Oregon,Governor,0.5022666107770415,0.030300305383032765,9.216713314037352e-4,35.936259369611705,3,1
Pennsylvania,Governor,0.5591188328824956,0.019047435189597426,3.708582529355074e-4,11.515935442384905,10,6
South Carolina,Governor,0.4635123161761457,0.01924422878188512,3.7500178347345275e-4,7.096332165993584,3,3
Texas,Governor,0.46584446081934566,0.015187608759659408,2.3177944057665206e-4,12.848812905627407,17,2
Vermont,Governor,0.18675001291803844,0.013518537250761142,1.8531426412821256e-4,17.608228472749772,2,1
Wisconsin,Governor,0.5049000818293778,0.017619697644307104,3.165211927591781e-4,4.439432498003284,4,3
New Jersey,Governor,0.5405089196354441,0.0196017492102584,3.9472158598502624e-4,6.675182744430528,15,0
Virginia,Governor,0.503078066998368,0.01941534933487532,3.86348535460906e-4,6.815805996231409,40,0
North Carolina,Governor,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,10,1,0
Oklahoma,Senate 1,0.3670584415584416,0.024050433418216926,5.829137809730007e-4,12.25,2,2
Oklahoma,Senate 2,0.3801109591123271,0.023960268780908917,5.774951494667765e-4,11.100000000000001,2,2
