state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5348733759630385,0.018170241122611248,3.3777224919090827e-4,9.44171024030361,12,8
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5494708051145494,0.018433538711635864,3.4310896515736674e-4,15.626833290438002,7,3
Connecticut,Senate,0.5827831349565937,0.013522580442716562,1.9005557410739407e-4,7.568242092457558,2,2
Florida,Senate,0.482990143931696,0.019984304590788336,4.177542719589645e-4,8.700707258345144,21,6
Georgia,Senate,0.5109326780827184,0.017005369427542393,2.958525635855213e-4,7.111174060742304,22,9
Illinois,Senate,0.6153811595338949,0.017098828755319043,2.923964468888137e-4,19.6173849245997,2,1
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,8.114116696676632,10,1
Kansas,Senate,0.4116074260240026,0.020753946037175827,4.475372403812361e-4,17.72183726471448,2,2
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.43508339858679457,0.01993890777549891,4.0141027303482754e-4,15.148198267991992,3,2
Nevada,Senate,0.48990448867553704,0.018876494770468672,3.673034235685196e-4,10.882338684914108,14,4
New Hampshire,Senate,0.5573399774068963,0.019403000258577406,3.796705057299629e-4,8.7443685641727,8,3
New York,Senate,0.6290087066566817,0.017381965399376097,3.057131368511716e-4,13.683859398106529,4,1
North Carolina,Senate,0.49600874774779613,0.018955448423391242,3.638596675159795e-4,10.240847074469439,14,7
Ohio,Senate,0.5049498221221919,0.01828746927042111,3.4015597117072075e-4,9.976515734098125,14,8
Pennsylvania,Senate,0.5446547661141807,0.018103583827153918,3.431742135380027e-4,7.934345522038554,16,7
South Carolina,Senate,0.4065795356367926,0.021021555915855784,4.4190621371019884e-4,9.001227332943714,2,1
South Dakota,Senate,0.417702142926362,0.027743324498106292,7.696932883249289e-4,20.99939715856776,2,1
Utah,Senate,0.4318858338171663,0.020024368467473234,4.0398337034118286e-4,13.194820973736428,6,2
Vermont,Senate,0.5351171180311524,0.015808775696699754,2.499331673027132e-4,7.10321525627695,3,1
Washington,Senate,0.5535512036992103,0.022478282583662766,5.217980746345721e-4,10.854127785059616,12,3
Wisconsin,Senate,0.4914642731382933,0.017289637607454597,3.013539511921739e-4,4.634220073129294,10,7
Arizona,Governor,0.49727053002484195,0.017678361665836688,3.1929170114345854e-4,7.307060193191999,9,7
Arkansas,Governor,0.384079499748091,0.017985411321038015,3.4534464287013867e-4,7.4154022941498905,4,3
California,Governor,0.651685393258427,0.01551161086154731,2.4061007152007246e-4,11,1,1
Colorado,Governor,0.5756489190471539,0.01591257579930399,2.544351318112008e-4,10.882119763843646,5,1
Connecticut,Governor,0.5764337455892965,0.013478407678138729,1.8854286511783995e-4,6.808855008494267,5,2
Florida,Governor,0.4647022286041271,0.020926108019629443,4.565193940151938e-4,6.909822051176514,9,7
Georgia,Governor,0.47344483160384854,0.017261874207147972,3.049317785399092e-4,5.086486475397213,21,11
Illinois,Governor,0.580603333331569,0.01645116493004702,2.7088264216467925e-4,14.288557992566304,4,2
Iowa,Governor,0.40937833254745387,0.021485075756964525,4.625557608796732e-4,11.9740047120503,4,0
