state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alabama,Senate,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alaska,Senate,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Alaska,Governor,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Arizona,Senate,41.38652082164871,0.5453185106047885,8.936037114181406,2.9893205104473837,9,7
Arizona,Governor,41.38652082164871,0.5136745104437909,8.549116059372613,2.9238871488777765,6,6
Arkansas,Governor,36.5803502611594,0.3404245266083678,6.905086856218388,2.627753195453939,2,1
Arkansas,Senate,36.5803502611594,NA,9.314422811839133,3.051953933439876,0,0
California,Governor,62.586872455790065,0.651685393258427,3.140627313659618,1.7721815126164753,1,1
California,Senate,62.586872455790065,NA,9.114144982777661,3.018964223500779,0,0
Colorado,Senate,54.268120302384304,0.5394676060986604,5.408704115329687,2.3256620810706115,6,3
Colorado,Governor,54.268120302384304,0.5328980583375272,3.349881147680338,1.8302680535048241,4,2
Connecticut,Senate,58.526242019500806,0.574793875147232,4.199893009357039,2.049364049981613,1,1
Connecticut,Governor,58.526242019500806,0.5581076985648465,4.180261318623094,2.044568736585565,4,1
Florida,Senate,48.53526438955828,0.48254071345690347,9.987392447358694,3.1602836023620875,19,6
Florida,Governor,48.53526438955828,0.46615993743245876,10.501824746174478,3.2406519014196014,7,6
Georgia,Senate,41.97169174882852,0.5116900711911807,6.46263475259966,2.542171267361753,17,4
Georgia,Governor,41.97169174882852,0.47902217951279613,5.876862732704103,2.4242241506725617,15,5
Hawaii,Governor,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Hawaii,Senate,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Idaho,Governor,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Idaho,Senate,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Illinois,Senate,57.926424852004544,0.560880829015544,3.238275640805022,1.799520947587169,1,0
Illinois,Governor,57.926424852004544,0.5635027227557652,3.9054778435254,1.976228186097294,3,1
Indiana,Senate,42.42633551137972,0.4827586206896552,4.077494070903782,2.01928058251046,1,1
Iowa,Senate,45.49003365482535,0.4757268104957858,10.8423083289777,3.292766060469176,10,1
Iowa,Governor,45.49003365482535,0.4093783325474539,13.543449126876888,3.6801425416520064,4,0
Kansas,Senate,43.255565338511026,0.39325842696629215,8.342059442660615,2.88826235696493,1,1
Kansas,Governor,43.255565338511026,0.563718575958257,7.938184427954395,2.8174783810979624,4,1
Kentucky,Senate,38.46817941987608,0.4148936170212766,5.282795384752397,2.2984332456593988,1,0
Louisiana,Senate,20.825071691209317,NA,9.430475062130212,3.070907856339915,0,0
Maine,Governor,47.50684461591846,0.5621975972712561,5.330027699292522,2.308685275062957,5,1
Maryland,Senate,59.60060257679597,0.43023255813953487,6.526625642238924,2.5547261384028865,1,0
Maryland,Governor,59.60060257679597,NA,9.76673349059233,3.125177353462093,0,0
Massachusetts,Governor,63.42754700682979,0.6056338028169014,4.909912519093897,2.21583224073798,1,1
Michigan,Governor,52.09968939110665,0.5567692141277366,7.478137071834208,2.7346182680283198,8,3
Minnesota,Governor,54.65445805866372,0.5978212859978389,6.365208612189833,2.5229365057785014,4,2
Missouri,Senate,43.48693780265842,0.439560439560448,7.4436376542066505,2.7283030722789303,2,1
Nebraska,Governor,37.204872788557424,NA,14.99692044355643,3.872585756772396,0,0
Nevada,Senate,50.11676011924624,0.5033930999933779,7.287702834933334,2.699574565544233,11,3
Nevada,Governor,50.11676011924624,0.5021760827079236,7.472848756077424,2.7336511767373364,8,3
New Hampshire,Senate,50.290426774892985,0.5505608179451924,5.037918852038887,2.24453087571521,5,0
New Hampshire,Governor,50.290426774892985,0.38463399503774065,3.2091363381052105,1.7914062459713627,4,0
New Mexico,Governor,56.00332001977625,0.5300158927560703,4.506776610575169,2.122917005107635,6,2
New York,Senate,65.32933917622134,0.6290087066566818,4.296863460455267,2.0728877105273376,4,1
New York,Governor,65.32933917622134,0.5753095846146714,5.126534372453193,2.2641851453565347,8,4
North Carolina,Senate,49.56821954323046,0.4911295949647053,9.77683868869084,3.126793675427088,10,4
North Dakota,Senate,26.860147032799876,NA,13.989319473813985,3.7402298691141946,0,0
Ohio,Senate,45.37027389356207,0.5147366743957504,11.237285083589963,3.3522060025586082,9,6
Ohio,Governor,45.37027389356207,0.4271792752270718,11.469266989153544,3.3866306248472897,7,5
Oklahoma,Governor,32.93398111723862,0.444705456817253,8.850034778987753,2.9749008015373812,8,2
Oklahoma,Senate 1,32.93398111723862,0.3670584415584416,8.844423761804405,2.973957592469066,2,2
Oklahoma,Senate 2,32.93398111723862,0.3801109591123271,8.716497604453428,2.9523715220909152,2,2
Oregon,Governor,57.60816808687109,0.5022666107770415,11.008634378595266,3.3179262165689076,3,1
Oregon,Senate,57.60816808687109,NA,9.286034137802062,3.047299482788336,0,0
Pennsylvania,Senate,52.82642047516033,0.564777981790456,7.6775079036201,2.7708316267178885,12,6
Pennsylvania,Governor,52.82642047516033,0.5591188328824956,7.714930835922097,2.7775764320576486,10,5
Rhode Island,Governor,63.57894393041108,NA,10.908768426363174,3.302842476771058,0,0
South Carolina,Senate,41.54334670940243,0.40657953563679267,9.44993810503442,3.074075162554491,2,1
South Carolina,Governor,41.54334670940243,0.4635123161761458,8.505916571268202,2.9164904545134727,3,3
South Dakota,Senate,36.27385316539532,0.41770214292636204,10.731414056457456,3.2758837061863866,2,1
South Dakota,Governor,36.27385316539532,NA,11.211288303200448,3.3483261942648967,0,0
Tennessee,Governor,37.90797873114066,NA,9.000553582138457,3.0000922622710218,0,0
Texas,Governor,45.20246579642519,0.46875748948766455,10.3477727709455,3.216795419504557,18,3
Utah,Senate,34.639923473185355,0.4755005774357574,7.608165344595445,2.758290293749997,5,1
Vermont,Senate,56.159588830060954,0.5351171180311525,4.869163881928083,2.2066182003074486,3,1
Vermont,Governor,56.159588830060954,0.18675001291803844,4.698304987987193,2.1675573782456583,2,1
Washington,Senate,57.70660468078626,0.5393583943874294,5.0983837080740795,2.2579600767228105,11,3
Wisconsin,Senate,50.71159592685321,0.5153887302310247,6.478482640285712,2.545286357226965,4,2
Wisconsin,Governor,50.71159592685321,0.5049000818293778,7.1527123908581505,2.674455531665866,4,3
Wyoming,Governor,28.10805824406115,NA,9.696948566428542,3.113992383810298,0,0
