state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alabama,Senate,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alaska,Senate,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Alaska,Governor,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Arizona,Senate,41.38652082164871,0.5303747217103204,8.290655428188636,2.879349827337525,11,8
Arizona,Governor,41.38652082164871,0.49801811466968277,7.701039368114616,2.7750746599172094,8,7
Arkansas,Senate,36.5803502611594,0.41216216216216217,5.369422929249432,2.3172015297011677,1,1
Arkansas,Governor,36.5803502611594,0.3840794997480911,4.331500754888238,2.0812257818142266,4,3
California,Governor,62.586872455790065,0.651685393258427,3.140627313659618,1.7721815126164753,1,1
California,Senate,62.586872455790065,NA,9.114144982777661,3.018964223500779,0,0
Colorado,Senate,54.268120302384304,0.5494708051145494,5.262955389869669,2.2941132033684974,7,3
Colorado,Governor,54.268120302384304,0.575648919047154,3.8200844383205657,1.9545036296514176,5,2
Connecticut,Senate,58.526242019500806,0.5827831349565937,3.01737557383318,1.7370594618012303,2,2
Connecticut,Governor,58.526242019500806,0.5764337455892966,2.963418483288952,1.721458243260333,5,2
Florida,Senate,48.53526438955828,0.482990143931696,10.665959316226138,3.265878031437509,21,6
Florida,Governor,48.53526438955828,0.4647022286041271,10.806233541868913,3.287283611413672,9,7
Georgia,Senate,41.97169174882852,0.5109326780827184,5.261942495185256,2.2938924332202797,22,9
Georgia,Governor,41.97169174882852,0.47344483160384854,5.0277572715693255,2.242266101864211,21,11
Hawaii,Governor,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Hawaii,Senate,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Idaho,Governor,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Idaho,Senate,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Illinois,Senate,57.926424852004544,0.560880829015544,3.238275640805022,1.799520947587169,1,0
Illinois,Governor,57.926424852004544,0.5635027227557652,3.9054778435254,1.976228186097294,3,1
Indiana,Senate,42.42633551137972,0.4827586206896552,4.077494070903782,2.01928058251046,1,1
Iowa,Senate,45.49003365482535,0.47572681049578575,10.842308328977698,3.292766060469176,10,1
Iowa,Governor,45.49003365482535,0.40937833254745387,13.543449126876888,3.6801425416520064,4,0
Kansas,Senate,43.255565338511026,0.4116074260240026,6.558323311187827,2.5609223555562606,2,2
Kansas,Governor,43.255565338511026,0.5287519663772351,5.839410955785611,2.416487317530471,5,2
Kentucky,Senate,38.46817941987608,0.4148936170212766,5.282795384752397,2.2984332456593988,1,0
Louisiana,Senate,20.825071691209317,NA,9.430475062130212,3.070907856339915,0,0
Maine,Governor,47.50684461591846,0.566619439135916,4.964293222268538,2.228069393503833,7,3
Maryland,Senate,59.60060257679597,0.43023255813953487,6.526625642238924,2.5547261384028865,1,0
Maryland,Governor,59.60060257679597,NA,9.76673349059233,3.125177353462093,0,0
Massachusetts,Governor,63.42754700682979,0.6380181329124626,6.573991331396089,2.5639795887245453,2,2
Michigan,Governor,52.09968939110665,0.5683008260489076,7.18047547823852,2.679640923377332,10,5
Minnesota,Governor,54.65445805866372,0.5496770569158468,4.803016990868855,2.191578652676845,6,3
Missouri,Senate,43.48693780265842,0.4350833985867945,9.202016047919791,3.033482495073903,3,2
Nebraska,Governor,37.204872788557424,NA,14.99692044355643,3.872585756772396,0,0
Nevada,Senate,50.11676011924624,0.48990448867553704,7.1738045271570225,2.6783958869362503,14,4
Nevada,Governor,50.11676011924624,0.49534053065367345,6.665164706365933,2.5816980277263126,10,3
New Hampshire,Senate,50.290426774892985,0.5573399774068963,5.4642223622569395,2.3375676166170978,8,3
New Hampshire,Governor,50.290426774892985,0.4097153514225576,5.445029581096959,2.3334587163901057,7,3
New Mexico,Governor,56.00332001977625,0.5470031675133039,5.555523672262087,2.357015840477549,7,3
New York,Senate,65.32933917622134,0.6290087066566817,4.296863460455266,2.072887710527337,4,1
New York,Governor,65.32933917622134,0.5743259222955978,4.987345165247923,2.2332364776816456,9,5
North Carolina,Senate,49.56821954323046,0.49543995874089763,9.679607163859954,3.11120670542154,13,6
North Dakota,Senate,26.860147032799876,NA,13.989319473813985,3.7402298691141946,0,0
Ohio,Senate,45.37027389356207,0.5024352429833544,10.851923586143545,3.294225794650929,13,8
Ohio,Governor,45.37027389356207,0.4240191118324936,11.022412238258283,3.3200018431106755,11,7
Oklahoma,Governor,32.93398111723862,0.44470545681725304,8.850034778987753,2.9749008015373812,8,2
Oklahoma,Senate 1,32.93398111723862,0.3670584415584416,8.844423761804405,2.973957592469066,2,2
Oklahoma,Senate 2,32.93398111723862,0.3801109591123271,8.716497604453428,2.9523715220909152,2,2
Oregon,Governor,57.60816808687109,0.5022666107770415,9.823786984197527,3.1342921025643937,3,0
Oregon,Senate,57.60816808687109,NA,9.286034137802062,3.047299482788336,0,0
Pennsylvania,Senate,52.82642047516033,0.5422534030374153,7.274552618423019,2.697137856770213,15,8
Pennsylvania,Governor,52.82642047516033,0.5491772199419405,7.202083396845932,2.6836697630010167,13,7
Rhode Island,Governor,63.57894393041108,NA,10.908768426363174,3.302842476771058,0,0
South Carolina,Senate,41.54334670940243,0.4065795356367926,9.449938105034416,3.0740751625544904,2,1
South Carolina,Governor,41.54334670940243,0.46351231617614574,8.505916571268202,2.9164904545134727,3,3
South Dakota,Senate,36.27385316539532,0.41770214292636204,10.731414056457456,3.2758837061863866,2,1
South Dakota,Governor,36.27385316539532,NA,11.211288303200448,3.3483261942648967,0,0
Tennessee,Governor,37.90797873114066,NA,9.000553582138457,3.0000922622710218,0,0
Texas,Governor,45.20246579642519,0.4620931224939961,10.551675600038127,3.2483342808335056,20,5
Utah,Senate,34.639923473185355,0.4318858338171663,7.956020092154571,2.82064178728079,6,2
Vermont,Senate,56.159588830060954,0.5351171180311524,4.869163881928081,2.206618200307448,3,1
Vermont,Governor,56.159588830060954,0.18675001291803842,4.698304987987193,2.1675573782456583,2,1
Washington,Senate,57.70660468078626,0.5535512036992103,6.367482039621074,2.5233870174075705,12,3
Wisconsin,Senate,50.71159592685321,0.4918959244719916,7.202618693002396,2.683769493269196,9,6
Wisconsin,Governor,50.71159592685321,0.5079633222904336,7.478419853185105,2.734669971529491,8,6
Wyoming,Governor,28.10805824406115,NA,9.696948566428542,3.113992383810298,0,0
