state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alabama,Senate,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alaska,Senate,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Alaska,Governor,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Arizona,Senate,41.38652082164871,0.5303747217103204,8.290655428188636,2.879349827337525,11,8
Arizona,Governor,41.38652082164871,0.4980181146696828,7.701039368114616,2.7750746599172094,8,7
Arkansas,Senate,36.5803502611594,0.41216216216216217,5.369422929249432,2.3172015297011677,1,1
Arkansas,Governor,36.5803502611594,0.3840794997480911,4.331500754888238,2.0812257818142266,4,3
California,Governor,62.586872455790065,0.651685393258427,3.140627313659618,1.7721815126164753,1,1
California,Senate,62.586872455790065,NA,9.114144982777661,3.018964223500779,0,0
Colorado,Senate,54.268120302384304,0.5494708051145493,5.262955389869668,2.2941132033684974,7,3
Colorado,Governor,54.268120302384304,0.575648919047154,3.820084438320567,1.954503629651418,5,2
Connecticut,Senate,58.526242019500806,0.5827831349565937,3.0173755738331804,1.7370594618012305,2,2
Connecticut,Governor,58.526242019500806,0.5764337455892966,2.963418483288952,1.721458243260333,5,2
Florida,Senate,48.53526438955828,0.4829901439316959,10.665959316226138,3.265878031437509,21,6
Florida,Governor,48.53526438955828,0.464702228604127,10.806233541868913,3.287283611413672,9,7
Georgia,Senate,41.97169174882852,0.5109326780827184,5.261942495185256,2.2938924332202797,22,9
Georgia,Governor,41.97169174882852,0.47344483160384854,5.027757271569326,2.2422661018642116,21,11
Hawaii,Governor,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Hawaii,Senate,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Idaho,Governor,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Idaho,Senate,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Illinois,Senate,57.926424852004544,0.560880829015544,3.238275640805022,1.799520947587169,1,0
Illinois,Governor,57.926424852004544,0.5635027227557652,3.9054778435254,1.976228186097294,3,1
Indiana,Senate,42.42633551137972,0.4827586206896552,4.077494070903782,2.01928058251046,1,1
Iowa,Senate,45.49003365482535,0.47572681049578575,10.842308328977698,3.292766060469176,10,1
Iowa,Governor,45.49003365482535,0.40937833254745387,13.543449126876887,3.680142541652006,4,0
Kansas,Senate,43.255565338511026,0.4116074260240027,6.558323311187829,2.560922355556261,2,2
Kansas,Governor,43.255565338511026,0.5287519663772351,5.839410955785611,2.416487317530471,5,2
Kentucky,Senate,38.46817941987608,0.4148936170212766,5.282795384752397,2.2984332456593988,1,0
Louisiana,Senate,20.825071691209317,NA,9.430475062130212,3.070907856339915,0,0
Maine,Governor,47.50684461591846,0.566619439135916,4.964293222268538,2.228069393503833,7,3
Maryland,Senate,59.60060257679597,0.43023255813953487,6.526625642238924,2.5547261384028865,1,0
Maryland,Governor,59.60060257679597,NA,9.76673349059233,3.125177353462093,0,0
Massachusetts,Governor,63.42754700682979,0.6380181329124626,6.573991331396089,2.5639795887245453,2,2
Michigan,Governor,52.09968939110665,0.5683008260489076,7.18047547823852,2.679640923377332,10,5
Minnesota,Governor,54.65445805866372,0.5496770569158467,4.803016990868855,2.191578652676845,6,3
Missouri,Senate,43.48693780265842,0.43508339858679457,9.202016047919791,3.033482495073903,3,2
Nebraska,Governor,37.204872788557424,NA,14.99692044355643,3.872585756772396,0,0
Nevada,Senate,50.11676011924624,0.48990448867553704,7.1738045271570225,2.6783958869362503,14,4
Nevada,Governor,50.11676011924624,0.4953405306536734,6.665164706365932,2.5816980277263126,10,3
New Hampshire,Senate,50.290426774892985,0.5573399774068963,5.4642223622569395,2.3375676166170978,8,3
New Hampshire,Governor,50.290426774892985,0.40971535142255755,5.445029581096957,2.3334587163901053,7,3
New Mexico,Governor,56.00332001977625,0.5470031675133039,5.555523672262087,2.357015840477549,7,3
New York,Senate,65.32933917622134,0.6290087066566817,4.296863460455266,2.072887710527337,4,1
New York,Governor,65.32933917622134,0.5743259222955978,4.93560239699711,2.221621569259065,9,4
North Carolina,Senate,49.56821954323046,0.49543995874089763,9.679607163859954,3.11120670542154,13,6
North Dakota,Senate,26.860147032799876,NA,13.989319473813985,3.7402298691141946,0,0
Ohio,Senate,45.37027389356207,0.5024352429833544,10.851923586143545,3.294225794650929,13,8
Ohio,Governor,45.37027389356207,0.42401911183249363,11.022412238258285,3.320001843110676,11,7
Oklahoma,Governor,32.93398111723862,0.4635760469549817,8.69263847784593,2.9483280817856636,9,3
Oklahoma,Senate 1,32.93398111723862,0.3812521064375205,8.94007408543671,2.989995666457848,3,3
Oklahoma,Senate 2,32.93398111723862,0.40925612503925857,8.725287029688054,2.9538596834799136,3,3
Oregon,Governor,57.60816808687109,0.5022666107770415,9.823786984197527,3.1342921025643937,3,0
Oregon,Senate,57.60816808687109,NA,9.286034137802062,3.047299482788336,0,0
Pennsylvania,Senate,52.82642047516033,0.5422534030374153,7.27128392019309,2.6965318318523686,15,7
Pennsylvania,Governor,52.82642047516033,0.5491772199419405,7.198380990911547,2.682979871506968,13,6
Rhode Island,Governor,63.57894393041108,NA,10.908768426363174,3.302842476771058,0,0
South Carolina,Senate,41.54334670940243,0.40657953563679267,9.44993810503442,3.074075162554491,2,1
South Carolina,Governor,41.54334670940243,0.46351231617614574,8.505916571268202,2.9164904545134727,3,3
South Dakota,Senate,36.27385316539532,0.41770214292636204,10.731414056457456,3.2758837061863866,2,1
South Dakota,Governor,36.27385316539532,NA,11.211288303200448,3.3483261942648967,0,0
Tennessee,Governor,37.90797873114066,NA,9.000553582138457,3.0000922622710218,0,0
Texas,Governor,45.20246579642519,0.4620931224939961,10.551675600038127,3.2483342808335056,20,5
Utah,Senate,34.639923473185355,0.43188583381716633,7.956020092154571,2.82064178728079,6,2
Vermont,Senate,56.159588830060954,0.5351171180311524,4.869163881928083,2.2066182003074486,3,1
Vermont,Governor,56.159588830060954,0.18675001291803842,4.698304987987192,2.1675573782456583,2,1
Washington,Senate,57.70660468078626,0.5535512036992103,6.367482039621074,2.5233870174075705,12,3
Wisconsin,Senate,50.71159592685321,0.49189592447199154,7.202618693002396,2.683769493269196,9,6
Wisconsin,Governor,50.71159592685321,0.5079633222904336,7.478419853185105,2.734669971529491,8,6
Wyoming,Governor,28.10805824406115,NA,9.696948566428542,3.113992383810298,0,0
